"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.10.2020","10.364,00","10.364,48","10.364,48","10.343,90","0,02K","0,12%"
"14.10.2020","10.351,70","10.364,48","10.364,48","10.342,45","0,02K","0,04%"
"13.10.2020","10.347,50","10.364,48","10.364,48","10.332,25","0,02K","-0,16%"
"12.10.2020","10.364,48","10.339,68","10.364,48","10.339,68","0,02K","0,24%"
"09.10.2020","10.339,68","10.335,25","10.351,00","10.325,00","0,02K","0,04%"
"08.10.2020","10.335,25","10.339,68","10.351,00","10.322,20","0,02K","0,09%"
"07.10.2020","10.325,95","10.339,68","10.351,00","10.325,95","0,02K","-0,05%"
"06.10.2020","10.331,35","10.339,68","10.351,00","10.331,35","0,01K","-0,08%"
"05.10.2020","10.339,68","10.321,21","10.351,00","10.268,00","0,02K","0,27%"
"02.10.2020","10.311,95","10.321,21","10.325,00","10.263,50","0,02K","0,02%"
"01.10.2020","10.310,00","10.321,21","10.321,21","10.302,70","0,01K","-0,11%"
"30.09.2020","10.321,21","10.321,20","10.321,21","10.268,00","0,02K","0,00%"
"29.09.2020","10.321,20","10.321,21","10.321,21","10.261,75","0,02K","0,00%"
"28.09.2020","10.321,21","10.315,62","10.321,21","10.262,45","0,02K","0,23%"
"25.09.2020","10.297,10","10.315,62","10.315,62","10.261,65","0,02K","-0,05%"
"24.09.2020","10.302,50","10.315,62","10.315,62","10.261,55","0,01K","-0,04%"
"23.09.2020","10.306,35","10.315,62","10.315,62","10.268,00","0,02K","0,00%"
"22.09.2020","10.306,35","10.315,62","10.315,62","10.263,05","0,01K","-0,09%"
"21.09.2020","10.315,62","10.295,33","10.315,62","10.268,00","0,02K","0,29%"
"18.09.2020","10.286,05","10.295,33","10.295,33","10.261,65","0,02K","-0,09%"
"17.09.2020","10.295,33","10.295,30","10.295,33","10.268,00","0,01K","0,00%"
"16.09.2020","10.295,30","10.295,33","10.300,00","10.261,70","0,02K","0,22%"
"15.09.2020","10.272,35","10.295,33","10.297,50","10.260,90","0,03K","-0,22%"
"14.09.2020","10.295,33","10.255,95","10.295,33","10.255,95","0,03K","0,25%"
"11.09.2020","10.270,05","10.274,15","10.274,17","10.256,60","0,02K","-0,04%"
"10.09.2020","10.274,15","10.274,17","10.275,00","10.256,95","0,02K","0,00%"
"09.09.2020","10.274,17","10.274,15","10.285,00","10.263,90","0,02K","0,00%"
"08.09.2020","10.274,15","10.270,05","10.305,00","10.260,15","0,03K","0,06%"
"07.09.2020","10.268,00","10.270,05","10.270,05","10.268,00","0,01K","-0,02%"
"04.09.2020","10.270,05","10.270,08","10.275,00","10.247,10","0,02K","0,07%"
"03.09.2020","10.262,70","10.270,08","10.270,08","10.247,85","0,02K","-0,07%"
"02.09.2020","10.270,08","10.262,87","10.270,08","10.257,30","0,02K","0,22%"
"01.09.2020","10.247,85","10.262,87","10.262,87","10.241,55","0,02K","-0,08%"
"31.08.2020","10.255,80","10.262,87","10.262,87","10.241,15","0,02K","0,07%"
"28.08.2020","10.248,80","10.262,87","10.281,00","10.247,40","0,02K","-0,14%"
"27.08.2020","10.262,87","10.262,85","10.281,00","10.247,40","0,02K","0,00%"
"26.08.2020","10.262,85","10.262,87","10.281,00","10.239,90","0,03K","0,14%"
"25.08.2020","10.248,50","10.262,87","10.262,87","10.239,85","0,02K","0,01%"
"24.08.2020","10.247,10","10.246,71","10.266,00","10.246,71","0,02K","0,00%"
"21.08.2020","10.246,71","10.246,70","10.266,00","10.246,70","0,02K","0,08%"
"20.08.2020","10.238,10","10.246,70","10.270,00","10.238,10","0,03K","-0,08%"
"19.08.2020","10.246,70","10.246,71","10.270,00","10.238,45","0,02K","0,00%"
"18.08.2020","10.246,71","10.246,70","10.263,00","10.237,50","0,02K","0,00%"
"17.08.2020","10.246,70","10.231,71","10.257,00","10.228,70","0,03K","0,15%"
"14.08.2020","10.231,71","10.231,65","10.257,00","10.231,65","0,01K","0,00%"
"13.08.2020","10.231,65","10.231,70","10.232,40","10.209,85","0,02K","0,16%"
"12.08.2020","10.215,00","10.231,70","10.241,00","10.215,00","0,02K","-0,16%"
"11.08.2020","10.231,70","10.231,71","10.248,00","10.213,95","0,03K","0,00%"
"10.08.2020","10.231,71","10.209,86","10.243,00","10.203,20","0,02K","0,21%"
"07.08.2020","10.209,86","10.209,85","10.238,00","10.200,00","0,40K","0,00%"
"06.08.2020","10.209,85","10.209,86","10.229,00","10.186,15","0,02K","0,00%"
"05.08.2020","10.209,86","10.209,80","10.241,00","10.190,75","0,02K","0,00%"
"04.08.2020","10.209,80","10.209,85","10.222,00","10.209,80","0,01K","0,00%"
"03.08.2020","10.209,85","10.207,69","10.217,00","10.186,05","0,03K","0,11%"
"31.07.2020","10.198,95","10.207,69","10.207,69","10.197,80","0,01K","-0,09%"
"30.07.2020","10.207,69","10.207,65","10.217,00","10.198,30","0,02K","0,07%"
"29.07.2020","10.200,20","10.207,69","10.208,00","10.193,10","0,03K","-0,07%"
"28.07.2020","10.207,69","10.207,65","10.211,00","10.197,95","0,02K","0,00%"
"27.07.2020","10.207,65","10.210,30","10.216,00","10.197,65","0,02K","-0,07%"
"24.07.2020","10.215,00","10.210,39","10.216,00","10.196,45","0,02K","-0,10%"
"23.07.2020","10.225,00","10.210,39","10.225,00","10.203,05","0,02K","0,12%"
"22.07.2020","10.212,75","10.210,39","10.220,00","10.196,95","0,03K","0,02%"
"21.07.2020","10.210,39","10.210,35","10.222,50","10.188,35","0,03K","-0,09%"
"20.07.2020","10.220,00","10.194,96","10.225,00","10.192,45","0,04K","0,33%"
"17.07.2020","10.185,95","10.194,96","10.220,00","10.185,95","0,02K","-0,20%"
"16.07.2020","10.206,15","10.194,96","10.220,00","10.194,95","0,03K","0,11%"
"15.07.2020","10.194,96","10.194,95","10.220,00","10.185,70","0,02K","0,00%"
"14.07.2020","10.194,95","10.194,96","10.216,00","10.185,65","0,03K","0,00%"
"13.07.2020","10.194,96","10.184,73","10.205,00","10.184,70","0,02K","0,05%"
"10.07.2020","10.189,60","10.184,70","10.202,00","10.184,50","0,02K","0,05%"
"09.07.2020","10.184,70","10.184,65","10.201,00","10.174,35","0,03K","0,00%"
"08.07.2020","10.184,65","10.184,70","10.201,00","10.175,50","0,03K","-0,15%"
"07.07.2020","10.200,00","10.184,70","10.200,00","10.175,85","0,03K","0,15%"
"06.07.2020","10.184,70","10.173,38","10.191,00","10.164,65","0,04K","0,05%"
"03.07.2020","10.180,00","10.173,38","10.180,00","10.173,35","0,01K","0,07%"
"02.07.2020","10.173,38","10.173,35","10.184,00","10.173,30","0,02K","-0,11%"
"01.07.2020","10.185,00","10.173,35","10.192,00","10.173,30","0,02K","0,11%"
"30.06.2020","10.173,35","10.173,38","10.189,00","10.164,30","0,02K","0,00%"
"29.06.2020","10.173,38","10.172,75","10.184,00","10.157,70","0,02K","0,01%"
"26.06.2020","10.172,75","10.172,76","10.185,00","10.157,30","0,03K","0,00%"
"25.06.2020","10.172,76","10.172,75","10.180,00","10.157,30","0,02K","0,00%"
"24.06.2020","10.172,75","10.172,76","10.180,00","10.156,40","0,02K","0,00%"
"23.06.2020","10.172,76","10.172,75","10.182,00","10.154,35","0,03K","0,00%"
"22.06.2020","10.172,75","10.151,90","10.175,00","10.144,00","0,04K","0,28%"
"19.06.2020","10.144,00","10.151,85","10.170,00","10.144,00","0,02K","-0,08%"
"18.06.2020","10.151,85","10.151,88","10.181,00","10.142,75","0,03K","0,04%"
"17.06.2020","10.147,60","10.151,88","10.173,00","10.145,45","0,03K","-0,02%"
"16.06.2020","10.149,15","10.151,88","10.165,00","10.142,85","0,03K","-0,03%"
"15.06.2020","10.151,88","10.153,15","10.177,00","10.142,40","0,03K","-0,09%"
"12.06.2020","10.161,00","10.153,15","10.171,00","10.153,10","0,02K","0,08%"
"11.06.2020","10.153,15","10.153,18","10.160,00","10.135,00","0,03K","0,00%"
"10.06.2020","10.153,18","10.153,19","10.158,00","10.138,60","0,04K","0,00%"
"09.06.2020","10.153,19","10.147,00","10.155,00","10.128,35","0,03K","0,06%"
"08.06.2020","10.147,00","10.148,30","10.151,00","10.134,85","0,07K","0,11%"
"05.06.2020","10.135,40","10.148,30","10.153,00","10.135,40","0,04K","-0,13%"
"04.06.2020","10.148,30","10.148,31","10.155,00","10.135,65","0,03K","0,00%"
"03.06.2020","10.148,31","10.148,30","10.161,00","10.136,70","0,05K","0,06%"
"02.06.2020","10.142,30","10.148,30","10.149,00","10.136,15","0,03K","-0,06%"
"01.06.2020","10.148,30","10.139,25","10.159,00","10.120,00","0,03K","0,18%"
"29.05.2020","10.129,95","10.139,22","10.139,30","10.129,50","0,05K","0,00%"
"28.05.2020","10.130,00","10.139,30","10.140,15","10.130,00","0,02K","-0,09%"
"27.05.2020","10.139,30","10.139,25","10.156,00","10.125,00","0,02K","0,00%"
"26.05.2020","10.139,25","10.129,50","10.143,00","10.114,60","0,03K","0,10%"
"25.05.2020","10.129,50","10.129,55","10.134,00","10.125,00","0,01K","0,00%"
"22.05.2020","10.129,56","10.129,55","10.131,00","10.100,00","0,03K","0,13%"
"21.05.2020","10.116,25","10.129,55","10.131,00","10.104,00","0,03K","0,11%"
"20.05.2020","10.105,00","10.129,55","10.149,00","10.105,00","0,04K","-0,24%"
"19.05.2020","10.129,55","10.129,56","10.144,00","10.120,00","0,02K","0,24%"
"18.05.2020","10.105,00","10.137,15","10.145,00","10.105,00","0,02K","-0,21%"
"15.05.2020","10.125,90","10.137,15","10.145,00","10.111,00","0,03K","-0,02%"
"14.05.2020","10.128,05","10.137,15","10.137,20","10.107,50","0,03K","-0,09%"
"13.05.2020","10.137,15","10.137,12","10.137,20","10.112,50","0,03K","0,00%"
"12.05.2020","10.137,12","10.137,20","10.138,00","10.110,00","0,03K","0,00%"
"11.05.2020","10.137,20","10.129,35","10.144,00","10.110,00","0,04K","0,16%"
"08.05.2020","10.120,80","10.129,35","10.144,00","10.108,00","0,03K","0,00%"
"07.05.2020","10.120,70","10.129,35","10.131,00","10.111,00","0,03K","0,02%"
"06.05.2020","10.118,40","10.129,35","10.130,35","10.110,00","0,03K","-0,02%"
"05.05.2020","10.120,65","10.129,35","10.141,00","10.105,00","0,03K","-0,09%"
"04.05.2020","10.129,35","10.129,00","10.142,10","10.105,00","0,03K","0,09%"
"01.05.2020","10.120,00","10.129,00","10.133,00","10.114,50","0,03K","-0,01%"
"30.04.2020","10.121,25","10.129,00","10.133,00","10.111,70","0,03K","-0,14%"
"29.04.2020","10.135,50","10.129,00","10.137,00","10.111,10","0,04K","0,06%"
"28.04.2020","10.129,00","10.130,00","10.137,00","10.119,90","0,02K","-0,01%"
"27.04.2020","10.130,00","10.137,94","10.149,00","10.117,50","0,02K","0,01%"
"24.04.2020","10.128,85","10.137,92","10.149,00","10.128,85","0,02K","-0,16%"
"23.04.2020","10.145,05","10.137,92","10.145,05","10.123,20","0,03K","0,15%"
"22.04.2020","10.129,75","10.137,92","10.146,15","10.125,00","0,03K","-0,08%"
"21.04.2020","10.137,92","10.137,90","10.142,20","10.113,00","0,03K","0,00%"
"20.04.2020","10.137,90","10.122,00","10.142,94","10.104,85","0,02K","0,16%"
"17.04.2020","10.122,00","10.120,00","10.140,00","10.112,90","0,03K","0,09%"
"16.04.2020","10.112,85","10.125,00","10.140,00","10.093,00","1,21K","-0,12%"
"15.04.2020","10.125,00","9.698,35","10.125,00","9.692,67","0,01K","4,33%"
"14.04.2020","9.705,00","9.698,35","9.793,00","9.672,14","0,02K","0,07%"
"13.04.2020","9.698,35","9.595,10","9.700,00","9.541,26","0,02K","1,08%"
"10.04.2020","9.595,10","9.595,05","9.689,00","9.595,00","0,01K","0,00%"
"09.04.2020","9.595,00","9.595,05","9.595,10","9.582,16","0,01K","0,19%"
"08.04.2020","9.576,64","9.595,05","9.701,00","9.541,26","0,02K","-0,19%"
"07.04.2020","9.595,05","9.595,00","9.671,00","9.541,26","0,02K","0,00%"
"06.04.2020","9.595,00","9.554,00","9.611,00","9.541,26","0,03K","0,43%"
"03.04.2020","9.554,00","9.554,20","9.626,00","9.534,07","0,03K","0,35%"
"02.04.2020","9.520,67","9.554,20","9.611,00","9.520,67","0,02K","-0,22%"
"01.04.2020","9.541,26","9.554,20","9.593,00","9.530,96","0,03K","-0,09%"
"31.03.2020","9.550,00","9.554,20","9.574,00","9.541,54","0,02K","-0,04%"
"30.03.2020","9.554,20","9.532,60","9.572,00","9.515,00","0,03K","0,42%"
"27.03.2020","9.513,78","9.532,70","9.572,00","9.511,55","0,03K","-0,06%"
"26.03.2020","9.519,83","9.532,70","9.556,00","9.513,00","0,03K","-0,14%"
"25.03.2020","9.532,70","9.532,74","9.543,00","9.513,93","0,03K","0,00%"
"24.03.2020","9.532,74","9.520,30","9.538,00","9.519,00","0,03K","0,29%"
"23.03.2020","9.505,46","9.520,30","9.522,50","9.505,46","0,03K","-0,16%"
"20.03.2020","9.520,34","9.520,30","9.520,34","9.509,50","0,01K","0,06%"
"19.03.2020","9.515,00","9.520,30","9.538,00","9.485,00","0,02K","-0,06%"
"18.03.2020","9.520,30","9.520,33","9.529,00","9.512,61","0,02K","0,00%"
"17.03.2020","9.520,33","9.520,30","9.522,00","9.512,05","0,02K","0,00%"
"16.03.2020","9.520,30","9.500,52","9.536,00","9.496,00","0,03K","0,21%"
"13.03.2020","9.500,52","9.500,54","9.536,00","9.500,50","0,04K","0,00%"
"12.03.2020","9.500,54","9.500,52","9.509,83","9.489,73","0,04K","0,00%"
"11.03.2020","9.500,52","9.500,50","9.518,00","9.500,00","0,05K","-0,06%"
"10.03.2020","9.506,54","9.500,50","9.514,33","9.494,46","0,06K","0,06%"
"09.03.2020","9.500,50","9.513,82","9.516,22","9.496,00","0,05K","-0,14%"
"06.03.2020","9.513,82","9.513,80","9.516,75","9.491,00","0,05K","0,00%"
"05.03.2020","9.513,80","9.513,82","9.518,96","9.491,00","1,09K","0,00%"
"04.03.2020","9.513,82","9.513,84","9.516,22","9.495,00","4,35K","0,00%"
"03.03.2020","9.513,84","9.513,82","9.515,00","9.501,00","4,34K","0,00%"
"02.03.2020","9.513,82","9.526,25","9.526,25","9.502,00","1,92K","-0,01%"
"28.02.2020","9.515,00","9.526,25","9.526,28","9.502,00","0,03K","-0,01%"
"27.02.2020","9.516,05","9.526,25","9.526,30","9.502,00","0,02K","0,02%"
"26.02.2020","9.514,57","9.526,25","9.526,28","9.511,77","0,03K","0,01%"
"25.02.2020","9.513,98","9.526,25","9.532,00","9.513,66","0,03K","-0,13%"
"24.02.2020","9.526,25","9.533,96","9.533,96","9.514,44","0,04K","0,12%"
"21.02.2020","9.515,18","9.528,45","9.533,96","9.507,85","0,04K","-0,08%"
"20.02.2020","9.523,08","9.528,45","9.537,50","9.512,50","0,06K","0,10%"
"19.02.2020","9.513,58","9.528,45","9.537,00","9.513,58","0,04K","-0,03%"
"18.02.2020","9.516,33","9.528,49","9.542,00","9.515,57","0,06K","-0,13%"
"17.02.2020","9.528,49","9.539,15","9.542,00","9.510,00","0,03K","0,01%"
"14.02.2020","9.527,96","9.539,15","9.542,00","9.527,96","0,04K","0,03%"
"13.02.2020","9.525,38","9.539,15","9.539,16","9.515,21","0,06K","-0,02%"
"12.02.2020","9.527,62","9.539,15","9.539,16","9.510,00","0,04K","0,00%"
"11.02.2020","9.527,78","9.539,15","9.539,16","9.510,00","0,05K","-0,12%"
"10.02.2020","9.539,15","9.541,70","9.541,70","9.514,25","0,06K","-0,03%"
"07.02.2020","9.541,70","9.541,74","9.552,00","9.487,34","0,06K","0,00%"
"06.02.2020","9.541,74","9.541,30","9.545,00","9.522,16","0,04K","0,00%"
"05.02.2020","9.541,30","9.541,74","9.545,00","9.520,00","0,06K","0,00%"
"04.02.2020","9.541,74","9.541,70","9.560,00","9.515,00","0,04K","0,00%"
"03.02.2020","9.541,70","9.563,30","9.563,30","9.518,77","0,05K","-0,23%"
"31.01.2020","9.563,30","9.563,32","9.563,33","9.526,60","0,05K","0,00%"
"30.01.2020","9.563,30","9.563,32","9.565,00","9.528,38","0,03K","-0,02%"
"29.01.2020","9.565,00","9.563,30","9.568,00","9.525,14","0,06K","0,00%"
"28.01.2020","9.565,00","9.563,30","9.565,00","9.546,00","0,04K","0,02%"
"27.01.2020","9.563,30","9.547,00","9.580,00","9.532,50","0,05K","0,17%"
"24.01.2020","9.547,00","9.547,10","9.580,00","9.505,00","0,06K","0,00%"
"23.01.2020","9.547,10","9.547,02","9.569,00","9.524,54","0,05K","0,00%"
"22.01.2020","9.547,02","9.547,04","9.572,50","9.524,01","0,05K","0,00%"
"21.01.2020","9.547,04","9.550,65","9.550,65","9.536,00","0,05K","-0,04%"
"20.01.2020","9.550,65","9.550,70","9.550,70","9.525,00","0,03K","0,00%"
"17.01.2020","9.550,76","9.550,75","9.550,76","9.525,00","0,04K","0,00%"
"16.01.2020","9.550,75","9.550,76","9.572,50","9.527,71","0,06K","0,00%"
"15.01.2020","9.550,76","9.550,75","9.567,00","9.494,69","0,05K","-0,04%"
"14.01.2020","9.555,00","9.550,75","9.567,00","9.494,69","0,04K","0,04%"
"13.01.2020","9.550,75","9.507,85","9.553,00","9.502,50","0,05K","0,51%"
"10.01.2020","9.502,55","9.507,88","9.551,00","9.488,76","0,05K","-0,03%"
"09.01.2020","9.505,00","9.507,88","9.565,00","9.494,58","0,04K","-0,03%"
"08.01.2020","9.507,88","9.507,85","9.565,00","9.490,71","0,06K","0,00%"
"07.01.2020","9.507,85","9.507,88","9.600,00","9.494,54","0,08K","0,00%"
"06.01.2020","9.507,88","9.507,55","9.525,00","9.491,33","0,04K","0,11%"
"03.01.2020","9.497,50","9.507,35","9.525,00","9.494,29","0,06K","-0,10%"
"02.01.2020","9.507,35","9.507,56","9.511,71","9.489,88","0,04K","0,00%"
"01.01.2020","9.507,56","9.507,56","9.507,56","9.507,56","","0,03%"
